Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Water Temperature (C),date,Upwelling Index,ONI
0.0,0.0,0.53,1.82,160.0,0.0,80.0,0.43,0.03,0.24,4640.0,8560.0,480.0,5.64,19.8,2008-06-30,164.0,-0.5
0.0,0.0,2.92,2.5,0.0,0.0,0.0,0.8,0.21,0.33,10399.0,5200.0,0.0,3.9,18.5,2008-06-30,164.0,-0.5
0.0,0.0,1.086,12.14,7000.0,0.05,1000.0,0.11,0.219,0.851,470000.0,55000.0,345000.0,6.932,18.0,2008-06-30,112.5,-0.5
80.0,0.0,1.06,2.71,0.0,0.0,80.0,0.83,0.04,0.37,1040.0,55200.0,160.0,5.1,17.3,2008-07-07,48.0,-0.4
0.0,0.0,0.986,4.21,700.0,0.05,800.0,0.006,0.313,1.202,23000.0,2000.0,59000.0,10.673,18.0,2008-07-07,38.5,-0.4
0.0,0.0,2.38,2.08,0.0,0.0,0.0,0.44,0.313841288590604,0.13,0.0,363978.0,41598.0,2.4,18.658823529411766,2008-07-08,56.0,-0.4
80.0,0.0,0.31,1.0,0.0,0.0,240.0,0.14,0.01,0.28,960.0,15120.0,480.0,4.1,21.7,2008-07-14,69.0,-0.4
0.0,0.0,3.6,6.55,5200.0,0.0,5200.0,0.45,0.313841288590604,0.29,57197.0,41598.0,20799.0,5.3,19.5,2008-07-14,69.0,-0.4
500.0,0.0,1.26,1.92,300.0,0.0,0.0,0.341,0.093,0.454,22000.0,60000.0,200000.0,5.894,18.1,2008-07-14,45.5,-0.4
0.0,0.0,2.37,1.41,0.0,0.0,0.0,0.53,0.313841288590604,0.26,5200.0,0.0,0.0,4.0,20.0,2008-07-21,110.0,-0.4
0.0,0.0,0.34,1.23,0.0,0.0,0.0,0.17,0.01,0.19,560.0,1840.0,240.0,4.7,20.2,2008-07-21,110.0,-0.4
1200.0,0.0,7.786,1.14,200.0,0.0,3500.0,0.486,0.22,0.685,600.0,900.0,2000.0,8.684,18.8,2008-07-22,92.0,-0.4
0.0,0.0,3.23,1.64,0.0,0.0,0.0,0.81,0.17,0.15,0.0,41598.0,0.0,3.0,22.0,2008-07-28,93.0,-0.4
0.0,0.0,0.71,2.41,160.0,0.0,0.0,0.21,0.0,0.13,960.0,4880.0,0.0,4.7,22.4,2008-07-28,93.0,-0.4
4000.0,250.0,3.516,2.76,150.0,0.0,1000.0,0.676,0.212,0.553,4200.0,0.0,900.0,8.233,19.4,2008-07-28,81.5,-0.4
0.0,0.0,3.43,2.02,0.0,0.0,0.0,0.46,0.34133116993464047,0.19,0.0,0.0,0.0,5.0,23.0,2008-08-04,48.0,-0.3
0.0,0.0,0.21,1.9,0.0,0.0,0.0,0.08,0.0,0.16,480.0,1200.0,0.0,4.4,23.0,2008-08-04,48.0,-0.3
