"Project: Harmful Algal Blooms"
"Calibrated: No"
"Requested start: 2008-06-30 15:00:00"
"Requested end: 2018-06-02 23:33:00"
"Request time: Sat,  2 Jun 2018 23:34:12 +0000"
"Other Notes: All times provided in UTC"

year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (C),Volume for counting (mL)
2008,06,30,15:00:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.530000 ,1.820000 ,1.810000 ,1.830000 ,200.000000 ,160.000000 ,NaN,80.000000 ,0.430000 ,0.030000 ,NaN,NaN,0.600000 ,0.590000 ,0.610000 ,0.240000 ,4640.000000 ,8560.000000 ,480.000000 ,5.640000 ,50.000000 ,19.800000 ,NaN
2008,06,30,16:20:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,2.920000 ,2.500000 ,2.500000 ,2.500000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.800000 ,0.210000 ,NaN,NaN,1.050000 ,0.900000 ,1.200000 ,0.330000 ,10399.000000 ,5200.000000 ,0.000000 ,3.900000 ,25.000000 ,18.500000 ,NaN
2008,06,30,16:30:00,34.408,-119.685,0.0,Stearns Wharf,0.000000 ,0.000000 ,1.086000 ,12.140000 ,12.140000 ,NaN,200.000000 ,7000.000000 ,0.050000 ,1000.000000 ,0.110000 ,0.219000 ,NaN,NaN,2.050000 ,2.050000 ,NaN,0.851000 ,470000.000000 ,55000.000000 ,345000.000000 ,6.932000 ,50.000000 ,18.000000 ,NaN
2008,07,02,14:50:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.580000 ,2.080000 ,2.040000 ,2.120000 ,200.000000 ,NaN,NaN,NaN,0.120000 ,0.000000 ,NaN,NaN,0.530000 ,0.530000 ,0.520000 ,0.190000 ,NaN,NaN,NaN,6.500000 ,NaN,19.700000 ,NaN
2008,07,07,14:35:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,1122.000000 ,1.500000 ,3.436710 ,3.436710 ,NaN,200.000000 ,0.000000 ,NaN,6732.000000 ,0.880000 ,0.100000 ,13651.000000 ,14025.000000 ,NaN,NaN,NaN,0.290000 ,9724.000000 ,2244.000000 ,0.000000 ,6.710000 ,NaN,21.000000 ,500.0000 
2008,07,07,15:00:00,32.867,-117.257,0.0,Scripps Pier,80.000000 ,0.000000 ,1.060000 ,2.710000 ,2.680000 ,2.730000 ,200.000000 ,0.000000 ,NaN,80.000000 ,0.830000 ,0.040000 ,NaN,NaN,1.180000 ,1.240000 ,1.120000 ,0.370000 ,1040.000000 ,55200.000000 ,160.000000 ,5.100000 ,50.000000 ,17.300000 ,NaN
2008,07,07,16:30:00,34.408,-119.685,0.0,Stearns Wharf,0.000000 ,0.000000 ,0.986000 ,4.210000 ,4.210000 ,NaN,200.000000 ,700.000000 ,0.050000 ,800.000000 ,0.006000 ,0.313000 ,NaN,NaN,1.250000 ,1.250000 ,NaN,1.202000 ,23000.000000 ,2000.000000 ,59000.000000 ,10.673000 ,50.000000 ,18.000000 ,NaN
2008,07,08,13:50:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,2.380000 ,2.080000 ,2.040000 ,2.130000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.440000 ,NaN,NaN,NaN,1.000000 ,1.000000 ,1.000000 ,0.130000 ,0.000000 ,363978.000000 ,41598.000000 ,2.400000 ,25.000000 ,NaN,NaN
2008,07,10,15:40:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.470000 ,1.320000 ,1.300000 ,1.340000 ,200.000000 ,NaN,NaN,NaN,0.240000 ,0.010000 ,NaN,NaN,0.520000 ,0.510000 ,0.530000 ,0.240000 ,NaN,NaN,NaN,5.000000 ,NaN,19.500000 ,NaN
2008,07,14,14:55:00,32.867,-117.257,0.0,Scripps Pier,80.000000 ,0.000000 ,0.310000 ,1.000000 ,0.990000 ,1.000000 ,200.000000 ,0.000000 ,NaN,240.000000 ,0.140000 ,0.010000 ,NaN,NaN,0.550000 ,0.550000 ,0.540000 ,0.280000 ,960.000000 ,15120.000000 ,480.000000 ,4.100000 ,50.000000 ,21.700000 ,NaN
